numer miasto towar szerokość długość
0 Kraków 0 50.061 19.936
1 Białystok 500 53.132 23.159
2 Bielsko-Biała 50 49.822 19.044
3 Chrzanów 400 50.993 19.402
4 Gdańsk 200 54.361 18.628
5 Gdynia 100 54.516 18.540
6 Gliwice 40 50.294 18.665
7 Gromnik 200 49.838 20.961
8 Katowice 300 50.259 19.021
9 Kielce 30 50.871 20.631
10 Krosno 60 49.688 21.753
11 Krynica 50 49.420 20.959
12 Lublin 60 51.250 22.570
13 Łódź 160 51.768 19.456
14 Malbork 100 54.028 19.039
15 Nowy_Targ 120 49.489 20.026
16 Olsztyn 300 53.776 20.476
17 Poznań 100 52.408 16.933
18 Puławy 200 51.426 21.985
19 Radom 100 51.402 21.154
20 Rzeszów 60 50.037 22.004
21 Sandomierz 200 50.679 21.749
22 Szczecin 150 53.430 14.550
23 Szczucin 60 50.309 21.075
24 Szklarska_Poręba 50 50.814 15.454
25 Tarnów 70 50.012 20.988
26 Warszawa 200 52.231 21.006
27 Wieliczka 90 49.982 20.060
28 Wrocław 40 51.108 17.032
29 Zakopane 200 49.296 19.950
30 Zamość 300 50.721 23.259
